Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
anhaltend,Glaubhaftigkeit,Positive
ankurbeln,Glaubhaftigkeit,Positive
aufbauen,Glaubhaftigkeit,Positive
ausgeglichen,Glaubhaftigkeit,Positive
ausgewogen,Glaubhaftigkeit,Positive
bedingungslos,Glaubhaftigkeit,Positive
beleben,Glaubhaftigkeit,Positive
beständig,Glaubhaftigkeit,Positive
bilden*,Glaubhaftigkeit,Positive
dezidiert,Glaubhaftigkeit,Positive
entwickeln,Glaubhaftigkeit,Positive
erwecken,Glaubhaftigkeit,Positive
fest,Glaubhaftigkeit,Positive
fördern,Glaubhaftigkeit,Positive
ganz,Glaubhaftigkeit,Positive
gesund,Glaubhaftigkeit,Positive
größ,Glaubhaftigkeit,Positive
groß*,Glaubhaftigkeit,Positive
gut,Glaubhaftigkeit,Positive
hohe*,Glaubhaftigkeit,Positive
hohe* Grad an,Glaubhaftigkeit,Positive
hohes Maß an,Glaubhaftigkeit,Positive
mehr,Glaubhaftigkeit,Positive
positiv,Glaubhaftigkeit,Positive
reichlich*,Glaubhaftigkeit,Positive
richtig,Glaubhaftigkeit,Positive
schaffen,Glaubhaftigkeit,Positive
schenken,Glaubhaftigkeit,Positive
solide,Glaubhaftigkeit,Positive
spricht für,Glaubhaftigkeit,Positive
stark,Glaubhaftigkeit,Positive
steigern,Glaubhaftigkeit,Positive
versprechen,Glaubhaftigkeit,Positive
viel*,Glaubhaftigkeit,Positive
voll,Glaubhaftigkeit,Positive
wiederherstellen,Glaubhaftigkeit,Positive
zeigt,Glaubhaftigkeit,Positive
anhaltend,Glaubwürdigkeit,Positive
ankurbeln,Glaubwürdigkeit,Positive
aufbauen,Glaubwürdigkeit,Positive
ausgeglichen,Glaubwürdigkeit,Positive
ausgewogen,Glaubwürdigkeit,Positive
bedingungslos,Glaubwürdigkeit,Positive
beleben,Glaubwürdigkeit,Positive
beständig,Glaubwürdigkeit,Positive
bilden*,Glaubwürdigkeit,Positive
dezidiert,Glaubwürdigkeit,Positive
entwickeln,Glaubwürdigkeit,Positive
erwecken,Glaubwürdigkeit,Positive
fest,Glaubwürdigkeit,Positive
fördern,Glaubwürdigkeit,Positive
ganz,Glaubwürdigkeit,Positive
gesund,Glaubwürdigkeit,Positive
größ,Glaubwürdigkeit,Positive
groß*,Glaubwürdigkeit,Positive
gut,Glaubwürdigkeit,Positive
hohe*,Glaubwürdigkeit,Positive
hohe* Grad an,Glaubwürdigkeit,Positive
hohes Maß an,Glaubwürdigkeit,Positive
mehr,Glaubwürdigkeit,Positive
positiv,Glaubwürdigkeit,Positive
reichlich*,Glaubwürdigkeit,Positive
richtig,Glaubwürdigkeit,Positive
schaffen,Glaubwürdigkeit,Positive
schenken,Glaubwürdigkeit,Positive
solide,Glaubwürdigkeit,Positive
spricht für,Glaubwürdigkeit,Positive
stark,Glaubwürdigkeit,Positive
steigern,Glaubwürdigkeit,Positive
versprechen,Glaubwürdigkeit,Positive
viel*,Glaubwürdigkeit,Positive
voll,Glaubwürdigkeit,Positive
wiederherstellen,Glaubwürdigkeit,Positive
zeigt,Glaubwürdigkeit,Positive
anhaltend,Hoffnung*,Positive
ankurbeln,Hoffnung*,Positive
aufbauen,Hoffnung*,Positive
ausgeglichen,Hoffnung*,Positive
ausgewogen,Hoffnung*,Positive
bedingungslos,Hoffnung*,Positive
beleben,Hoffnung*,Positive
beständig,Hoffnung*,Positive
bilden*,Hoffnung*,Positive
dezidiert,Hoffnung*,Positive
entwickeln,Hoffnung*,Positive
erwecken,Hoffnung*,Positive
fest,Hoffnung*,Positive
fördern,Hoffnung*,Positive
ganz,Hoffnung*,Positive
gesund,Hoffnung*,Positive
größ,Hoffnung*,Positive
groß*,Hoffnung*,Positive
gut,Hoffnung*,Positive
hohe*,Hoffnung*,Positive
hohe* Grad an,Hoffnung*,Positive
hohes Maß an,Hoffnung*,Positive
mehr,Hoffnung*,Positive
positiv,Hoffnung*,Positive
reichlich*,Hoffnung*,Positive
richtig,Hoffnung*,Positive
schaffen,Hoffnung*,Positive
schenken,Hoffnung*,Positive
solide,Hoffnung*,Positive
spricht für,Hoffnung*,Positive
stark,Hoffnung*,Positive
steigern,Hoffnung*,Positive
versprechen,Hoffnung*,Positive
viel*,Hoffnung*,Positive
voll,Hoffnung*,Positive
wiederherstellen,Hoffnung*,Positive
zeigt,Hoffnung*,Positive
anhaltend,Vertrauen,Positive
ankurbeln,Vertrauen,Positive
aufbauen,Vertrauen,Positive
ausgeglichen,Vertrauen,Positive
ausgewogen,Vertrauen,Positive
bedingungslos,Vertrauen,Positive
beleben,Vertrauen,Positive
beständig,Vertrauen,Positive
bilden*,Vertrauen,Positive
dezidiert,Vertrauen,Positive
entwickeln,Vertrauen,Positive
erwecken,Vertrauen,Positive
fest,Vertrauen,Positive
fördern,Vertrauen,Positive
ganz,Vertrauen,Positive
gesund,Vertrauen,Positive
größ,Vertrauen,Positive
groß*,Vertrauen,Positive
gut,Vertrauen,Positive
hohe*,Vertrauen,Positive
hohe* Grad an,Vertrauen,Positive
hohes Maß an,Vertrauen,Positive
mehr,Vertrauen,Positive
positiv,Vertrauen,Positive
reichlich*,Vertrauen,Positive
richtig,Vertrauen,Positive
schaffen,Vertrauen,Positive
schenken,Vertrauen,Positive
solide,Vertrauen,Positive
spricht für,Vertrauen,Positive
stark,Vertrauen,Positive
steigern,Vertrauen,Positive
versprechen,Vertrauen,Positive
viel*,Vertrauen,Positive
voll,Vertrauen,Positive
wiederherstellen,Vertrauen,Positive
zeigt,Vertrauen,Positive
anhaltend,Zuversicht*,Positive
ankurbeln,Zuversicht*,Positive
aufbauen,Zuversicht*,Positive
ausgeglichen,Zuversicht*,Positive
ausgewogen,Zuversicht*,Positive
bedingungslos,Zuversicht*,Positive
beleben,Zuversicht*,Positive
beständig,Zuversicht*,Positive
bilden*,Zuversicht*,Positive
dezidiert,Zuversicht*,Positive
entwickeln,Zuversicht*,Positive
erwecken,Zuversicht*,Positive
fest,Zuversicht*,Positive
fördern,Zuversicht*,Positive
ganz,Zuversicht*,Positive
gesund,Zuversicht*,Positive
größ,Zuversicht*,Positive
groß*,Zuversicht*,Positive
gut,Zuversicht*,Positive
hohe*,Zuversicht*,Positive
hohe* Grad an,Zuversicht*,Positive
hohes Maß an,Zuversicht*,Positive
mehr,Zuversicht*,Positive
positiv,Zuversicht*,Positive
reichlich*,Zuversicht*,Positive
richtig,Zuversicht*,Positive
schaffen,Zuversicht*,Positive
schenken,Zuversicht*,Positive
solide,Zuversicht*,Positive
spricht für,Zuversicht*,Positive
stark,Zuversicht*,Positive
steigern,Zuversicht*,Positive
versprechen,Zuversicht*,Positive
viel*,Zuversicht*,Positive
voll,Zuversicht*,Positive
wiederherstellen,Zuversicht*,Positive
zeigt,Zuversicht*,Positive
abnehmend,Glaubhaftigkeit,Negative
abwesend,Glaubhaftigkeit,Negative
ausbleiben*,Glaubhaftigkeit,Negative
beschädigt,Glaubhaftigkeit,Negative
defizitär,Glaubhaftigkeit,Negative
entkräftet,Glaubhaftigkeit,Negative
erschüttert,Glaubhaftigkeit,Negative
falsch,Glaubhaftigkeit,Negative
fehlend ,Glaubhaftigkeit,Negative
fehlt an,Glaubhaftigkeit,Negative
fort,Glaubhaftigkeit,Negative
gering*,Glaubhaftigkeit,Negative
kaputt,Glaubhaftigkeit,Negative
kein*,Glaubhaftigkeit,Negative
Mangel an,Glaubhaftigkeit,Negative
Mangel von,Glaubhaftigkeit,Negative
mangelhaft,Glaubhaftigkeit,Negative
nicht,Glaubhaftigkeit,Negative
niedergeschlagen,Glaubhaftigkeit,Negative
niedrig*,Glaubhaftigkeit,Negative
ohne,Glaubhaftigkeit,Negative
schwinden,Glaubhaftigkeit,Negative
unfertig,Glaubhaftigkeit,Negative
unsicher,Glaubhaftigkeit,Negative
unvollständig,Glaubhaftigkeit,Negative
verkleinern,Glaubhaftigkeit,Negative
verloren*,Glaubhaftigkeit,Negative
verringern,Glaubhaftigkeit,Negative
verschwunden,Glaubhaftigkeit,Negative
versehrt,Glaubhaftigkeit,Negative
verspielt,Glaubhaftigkeit,Negative
wenig*,Glaubhaftigkeit,Negative
zerrüttet ,Glaubhaftigkeit,Negative
zerstört,Glaubhaftigkeit,Negative
abnehmend,Glaubwürdigkeit,Negative
abwesend,Glaubwürdigkeit,Negative
ausbleiben*,Glaubwürdigkeit,Negative
beschädigt,Glaubwürdigkeit,Negative
defizitär,Glaubwürdigkeit,Negative
entkräftet,Glaubwürdigkeit,Negative
erschüttert,Glaubwürdigkeit,Negative
falsch,Glaubwürdigkeit,Negative
fehlend ,Glaubwürdigkeit,Negative
fehlt an,Glaubwürdigkeit,Negative
fort,Glaubwürdigkeit,Negative
gering*,Glaubwürdigkeit,Negative
kaputt,Glaubwürdigkeit,Negative
kein*,Glaubwürdigkeit,Negative
Mangel an,Glaubwürdigkeit,Negative
Mangel von,Glaubwürdigkeit,Negative
mangelhaft,Glaubwürdigkeit,Negative
nicht,Glaubwürdigkeit,Negative
niedergeschlagen,Glaubwürdigkeit,Negative
niedrig*,Glaubwürdigkeit,Negative
ohne,Glaubwürdigkeit,Negative
schwinden,Glaubwürdigkeit,Negative
unfertig,Glaubwürdigkeit,Negative
unsicher,Glaubwürdigkeit,Negative
unvollständig,Glaubwürdigkeit,Negative
verkleinern,Glaubwürdigkeit,Negative
verloren*,Glaubwürdigkeit,Negative
verringern,Glaubwürdigkeit,Negative
verschwunden,Glaubwürdigkeit,Negative
versehrt,Glaubwürdigkeit,Negative
verspielt,Glaubwürdigkeit,Negative
wenig*,Glaubwürdigkeit,Negative
zerrüttet ,Glaubwürdigkeit,Negative
zerstört,Glaubwürdigkeit,Negative
abnehmend,Hoffnung*,Negative
abwesend,Hoffnung*,Negative
ausbleiben*,Hoffnung*,Negative
beschädigt,Hoffnung*,Negative
defizitär,Hoffnung*,Negative
entkräftet,Hoffnung*,Negative
erschüttert,Hoffnung*,Negative
falsch,Hoffnung*,Negative
fehlend ,Hoffnung*,Negative
fehlt an,Hoffnung*,Negative
fort,Hoffnung*,Negative
gering*,Hoffnung*,Negative
kaputt,Hoffnung*,Negative
kein*,Hoffnung*,Negative
Mangel an,Hoffnung*,Negative
Mangel von,Hoffnung*,Negative
mangelhaft,Hoffnung*,Negative
nicht,Hoffnung*,Negative
niedergeschlagen,Hoffnung*,Negative
niedrig*,Hoffnung*,Negative
ohne,Hoffnung*,Negative
schwinden,Hoffnung*,Negative
unfertig,Hoffnung*,Negative
unsicher,Hoffnung*,Negative
unvollständig,Hoffnung*,Negative
verkleinern,Hoffnung*,Negative
verloren*,Hoffnung*,Negative
verringern,Hoffnung*,Negative
verschwunden,Hoffnung*,Negative
versehrt,Hoffnung*,Negative
verspielt,Hoffnung*,Negative
wenig*,Hoffnung*,Negative
zerrüttet ,Hoffnung*,Negative
zerstört,Hoffnung*,Negative
abnehmend,Vertrauen,Negative
abwesend,Vertrauen,Negative
ausbleiben*,Vertrauen,Negative
beschädigt,Vertrauen,Negative
defizitär,Vertrauen,Negative
entkräftet,Vertrauen,Negative
erschüttert,Vertrauen,Negative
falsch,Vertrauen,Negative
fehlend ,Vertrauen,Negative
fehlt an,Vertrauen,Negative
fort,Vertrauen,Negative
gering*,Vertrauen,Negative
kaputt,Vertrauen,Negative
kein*,Vertrauen,Negative
Mangel an,Vertrauen,Negative
Mangel von,Vertrauen,Negative
mangelhaft,Vertrauen,Negative
nicht,Vertrauen,Negative
niedergeschlagen,Vertrauen,Negative
niedrig*,Vertrauen,Negative
ohne,Vertrauen,Negative
schwinden,Vertrauen,Negative
unfertig,Vertrauen,Negative
unsicher,Vertrauen,Negative
unvollständig,Vertrauen,Negative
verkleinern,Vertrauen,Negative
verloren*,Vertrauen,Negative
verringern,Vertrauen,Negative
verschwunden,Vertrauen,Negative
versehrt,Vertrauen,Negative
verspielt,Vertrauen,Negative
wenig*,Vertrauen,Negative
zerrüttet ,Vertrauen,Negative
zerstört,Vertrauen,Negative
abnehmend,Zuversicht*,Negative
abwesend,Zuversicht*,Negative
ausbleiben*,Zuversicht*,Negative
beschädigt,Zuversicht*,Negative
defizitär,Zuversicht*,Negative
entkräftet,Zuversicht*,Negative
erschüttert,Zuversicht*,Negative
falsch,Zuversicht*,Negative
fehlend ,Zuversicht*,Negative
fehlt an,Zuversicht*,Negative
fort,Zuversicht*,Negative
gering*,Zuversicht*,Negative
kaputt,Zuversicht*,Negative
kein*,Zuversicht*,Negative
Mangel an,Zuversicht*,Negative
Mangel von,Zuversicht*,Negative
mangelhaft,Zuversicht*,Negative
nicht,Zuversicht*,Negative
niedergeschlagen,Zuversicht*,Negative
niedrig*,Zuversicht*,Negative
ohne,Zuversicht*,Negative
schwinden,Zuversicht*,Negative
unfertig,Zuversicht*,Negative
unsicher,Zuversicht*,Negative
unvollständig,Zuversicht*,Negative
verkleinern,Zuversicht*,Negative
verloren*,Zuversicht*,Negative
verringern,Zuversicht*,Negative
verschwunden,Zuversicht*,Negative
versehrt,Zuversicht*,Negative
verspielt,Zuversicht*,Negative
wenig*,Zuversicht*,Negative
zerrüttet ,Zuversicht*,Negative
zerstört,Zuversicht*,Negative
,vertraunensbild*,Positive
,Hoffnungslosigkeit,Negative
,Misstrauen,Negative
,Mißtrauen,Negative
,Unglaubwürdig*,Negative
,Vertrauensbruch,Negative
,Vertrauensmissbrauch,Negative
,Vertrauensverlust,Negative
