Adjectives/Verbs;;Nouns (dependent);Nouns/verbs (independent);
 +;-;;+;-
anhaltend;abnehmend;Glaubhaftigkeit;vertraunensbild*;Hoffnungslosigkeit
ankurbeln;abwesend;Glaubwürdigkeit;;Misstrauen
aufbauen;ausbleiben*;Hoffnung*;;Mißtrauen
ausgeglichen;beschädigt;Vertrauen;;Unglaubwürdig*
ausgewogen;defizitär;Zuversicht*;;Vertrauensbruch
bedingungslos;entkräftet;;;Vertrauensmissbrauch
beleben;erschüttert;;;Vertrauensverlust
beständig;falsch;;;
bilden*;fehlend ;;;
dezidiert;fehlt an;;;
entwickeln;fort;;;
erwecken;gering*;;;
fest;kaputt;;;
fördern;kein*;;;
ganz;Mangel an;;;
gesund;Mangel von;;;
größ;mangelhaft;;;
groß*;nicht;;;
gut;niedergeschlagen;;;
hohe*;niedrig*;;;
hohe* Grad an;ohne;;;
hohes Maß an;schwinden;;;
mehr;unfertig;;;
positiv;unsicher;;;
reichlich*;unvollständig;;;
richtig;verkleinern;;;
schaffen;verloren*;;;
schenken;verringern;;;
solide;verschwunden;;;
spricht für;versehrt;;;
stark;verspielt;;;
steigern;wenig*;;;
versprechen;zerrüttet ;;;
viel*;zerstört;;;
voll;;;;
wiederherstellen;;;;
zeigt;;;;