Adjectives/Verbs;;Nouns (dependent);Nouns (independent);
 +;-;; +;-
assist;angry;citizen*;civic solidarity ;breakdown of civil
benefit*;concerned;disposable income ;civic unity;civil conflict*
boost;damage*;electorate;civil peace;civil unrest
comfort;declin*;household*;cohesive societ*;civil upheaval
cooperative;decreas*;pension* ;common weal*;disruption of public order
enhance;diminish;saver*;commonweal*;political upheaval
expand*;disagreeing;saving* ;peace and quiet;public disturbance
generous*;disapprove;taxp*;public stability ;public indignation
grow*;disillusioned;;public tranquility;social chaos
help ;displease*;;social balance;social discontent
high*;dissatisfied;;social cohesi*;social ills
hike;fearful;;social harmony;social inequalit*
improv*;frustrate;;social prosberity;social insecurit*
increas*;hinder;;social solidarity;social instabilit*
lift;hurt*;;social stability ;social strife 
optimistic;injure;;;social tension*
pleased;insufficient;;;social unrest
positive;low*;;;social upheaval
protect*;not enough;;;
rais*;opposing;;;
risi*;pessimistic;;;
satisified;protest;;;
strengthen*;small*;;;
support ;suffer*;;;
surge;upset;;;
sustain;weak*;;;
united;worried;;;
uplift;worse;;;